keywords,paragraph
vulnerable|emission|gwp|uncertainties|intergovernmental panel on climate change,"AGENDA ITEM 7(D) - METHODOLOGICAL ISSUES:   The Secretariat invited discussion of document A/AC/237/84, on methodological issues. France, on behalf of the EU, recommended continued use of draft guidelines for national communication, and collaboration between subsidiary bodies of the Convention and the <span class=""highlight"">IPCC</span> on revisions of the guidelines. He said additional effort should be made to reduce <span class=""highlight"">uncertainty</span> in <span class=""highlight"">GWPs</span> but that parties should use them if they wish. Japan supported the <span class=""highlight"">GWP</span> position and said that the inventory methodologies could be used by Annex 1 and non-Annex 1 Parties. Australia said Parties should continue to have the <span class=""highlight"">flexibility</span> to use country-specific approaches that are comparable to <span class=""highlight"">IPCC</span> guidelines and also supported continued use of <span class=""highlight"">GWPs</span>. Poland said revisions of guidelines should follow periodicity of national communications. The US supported use of <span class=""highlight"">GWPs</span> and <span class=""highlight"">IPCC</span> <span class=""highlight"">vulnerability</span> assessment methodologies. He suggested future work on inventory guidelines, impacts and mitigation methodologies and others will ultimately be the responsibility of SBSTA and the Convention Parties, not the <span class=""highlight"">IPCC</span> or other multilateral organizations, and that COP-1 could remand the issue to SBSTA. The International Civil Aviation Organization (ICAO) asked whether the Convention will be actively involved in controlling aircraft <span class=""highlight"">emissions</span>, suggesting that this would duplicate ICAOs activities. Romania said inventories may be difficult based on available data, and that the COP should take this into consideration. China said <span class=""highlight"">IPCC</span> guidelines are difficult to apply, especially for developing countries. He suggested calculating <span class=""highlight"">emissions</span> <span class=""highlight"">per capita</span> as an alternative methodology. The Chair said she would develop a revised draft based on delegates comments."
transportation|transport|fuel|ch4|1990 levels|emission|co2|stabilization|land use|land-use change|forestry|energy|industry,"Compared to <span class=""highlight"">1990 levels</span> and excluding <span class=""highlight"">land use</span> change and <span class=""highlight"">forestry</span>, nine parties projected increased <span class=""highlight"">CO2</span> <span class=""highlight"">emissions</span> for 2000 in the absence of additional measures, five parties projected <span class=""highlight"">stabilization</span> or a decrease, and one Party projected a decrease by 2005. The report shows <span class=""highlight"">CO2</span> accounts for 75% of <span class=""highlight"">emissions</span> reported, aggregated by <span class=""highlight"">fuel</span> <span class=""highlight"">consumption</span>, with <span class=""highlight"">energy</span> and transformation <span class=""highlight"">industries</span> the largest sector and <span class=""highlight"">transport</span> second. For <span class=""highlight"">CH4</span>, all but two parties projected a decrease compared to 1990 <span class=""highlight"">emissions</span>. No clear picture emerged for NO2. Parties reported approximately 700 <span class=""highlight"">policies and measures</span> with the largest percentage directed at residential, commercial, and institutional and <span class=""highlight"">transportation</span> sectors."
funding|gef,"The Working Group first addressed Agenda Item 8(a), Questions to the <span class=""highlight"">GEF</span> Chair/CEO Mohammed El-Ashry. France, on behalf of the EU, asked about the criteria for choosing the projects to be presented at the next <span class=""highlight"">GEF</span> council meeting, and possible tools for <span class=""highlight"">GEF</span> action on climate change. El-Ashry responded that the overarching <span class=""highlight"">GEF</span> strategy would emerge as the Convention proceeds, and that the existing guidelines for projects were primarily for enabling activities. He stated the <span class=""highlight"">GEF</span> alone does not have sufficient <span class=""highlight"">funding</span> for all proposals and must look to other means to mobilize resources."
funding|gef,"Following a question from Antigua and Barbuda on the role of the COP and the <span class=""highlight"">GEF</span> in project consideration, and recourse for projects denied <span class=""highlight"">funding</span>, El- Ashry stated that the division of labor between the <span class=""highlight"">GEF</span>, the COP and the INC is contained in the Convention, and that continuation of the cooperative spirit between <span class=""highlight"">GEF</span> and the COP in project <span class=""highlight"">development</span> would help avoid misunderstandings. Colombia later asked for further clarification, and El- Ashry again noted that both <span class=""highlight"">GEF</span> and Convention secretariats will be involved in the decision making process."
funding|gef,"Benin asked: 1) how many projects can the <span class=""highlight"">GEF</span> launch per country; 2) is there a regional distribution plan for <span class=""highlight"">GEF</span> projects; and 3) is there a plan for distribution of <span class=""highlight"">funds</span> among the GEFs four focal areas. El-Ashry replied that the number of projects per country depends on the capacity of the country and the institution. Rules on regional distribution or allocation existed only in the <span class=""highlight"">pilot phase</span> and distribution of <span class=""highlight"">funds</span> among focal areas has not yet been done, but may be in the future. Saudi Arabia stated that the <span class=""highlight"">GEF</span> Council has overlooked the importance of implementing activities in developing countries. These countries need substantial <span class=""highlight"">funding</span> to establish a sound <span class=""highlight"">infrastructure</span>, and it appears, based on the <span class=""highlight"">GEF</span> Council figures on <span class=""highlight"">funding</span> for enabling activities, that the <span class=""highlight"">GEF</span> will face high administrative costs in implementing projects. El-Ashry answered that they are currently trying to deal with coordination at the country level to ensure the provision of resources, not administrative costs."
funding|gef|financial mechanism,"AGENDA ITEM 8(B)  MAINTENANCE OF INTERIM ARRANGEMENTS:   The Working Group then considered the draft decision on maintenance of interim financial arrangements. The EU, the US, Australia, Canada, Japan and Poland supported designating the <span class=""highlight"">GEF</span> as the permanent entity entrusted with the operation of the <span class=""highlight"">financial mechanism</span>. The Philippines, on behalf of the G-77, Peru, China and Benin commented that progress had been made during the <span class=""highlight"">GEF</span> restructuring, but the <span class=""highlight"">GEF</span> needs further modification in its representation as well as additional <span class=""highlight"">funds</span> before it can be designated as the permanent <span class=""highlight"">financial mechanism</span>. The G-77 offered amendments to the draft, so that the <span class=""highlight"">GEF</span> would remain the interim <span class=""highlight"">financial mechanism</span> and the situation would be reviewed at the third session of the COP."
reducing emissions|emission|gas,"On Monday, delegates agreed that AOSIS could present its draft protocol to the Committee on Wednesday. This protocol, which calls for a <span class=""highlight"">reduction of emissions of greenhouse gases by at least 20% by the year 2005, has been the subject of discussion in the corridors and during the intersessional period. It appears as though an agreement has been reached whereupon there will be no negotiation of this protocol until the COP. Although the Chair made the point that the protocol might be discussed during Working Group Is review of the adequacy of commitments on Wednesday afternoon, few expect much progress at this session.</span>"
energy,"NGO SEMINAR:   The Conservation Law Foundation and the Foundation for International Environmental Law and <span class=""highlight"">Development</span> invite all delegates and NGOs to a seminar on <span class=""highlight"">Energy</span>-Efficiency as a Climate Change Strategy: Past Success and Future Promise from 1:30 - 3:00 pm. The room will be announced."
gas|co2|emissions inventories|emission|all gases,"AGENDA ITEM 7(a)  REVIEW OF NATIONAL COMMUNICATIONS:   Working Group I resumed consideration of the Secretariats synthesis report and recommendations on national communications. Poland said the Secretariats recommended schedule of national communications  every two years  is too expensive for Parties and would not produce new information. He also said the recommended annual periodicity for <span class=""highlight"">emissions</span> inventories was too short. Japan said the due date for the second national communications should be delayed, but he supported annual <span class=""highlight"">emissions</span> inventory updates. He said <span class=""highlight"">CO2</span> <span class=""highlight"">emissions</span> data could be collected with a reasonable workload, but that inclusion of other <span class=""highlight"">gases</span> should be optional. The US said that the Secretariats report focused too much on <span class=""highlight"">CO2</span>, suggesting that Parties needed to focus on all <span class=""highlight"">gases</span>. He did not think Parties should be named in the report. He supported the Secretariats recommended time frames, but urged <span class=""highlight"">development</span> of guidelines for developing country Parties."
baselines,"Hungary recommended averaging several years <span class=""highlight"">emissions</span> rather than using one year for an inventory <span class=""highlight"">baseline</span>. He suggested biannual inventories and a four- year periodicity for full communications, and supported naming Parties in the synthesis report. Mauritius said the Secretariat should consider non-Annex 1 Parties' communications in reviewing guidelines. New Zealand said while a decision on periodicity of national communications could wait for more experience from the SBSTA, she supports annual inventories."
emission|all gases,"Australia supported annual <span class=""highlight"">emissions</span> updates, but recommended that the COP define comparable reporting years. Canada said Parties need to resolve deviations from the guidelines, requested <span class=""highlight"">flexibility</span> on the exact date for submissions and supported annual inventories by Annex 1 Parties. China said the 15 submissions fail to meet the Conventions requirements because many lack documentation and evaluations of policies, and do not describe financial contributions to developing countries. France, on behalf of the EU, said that the synthesis report should be more flexible in naming Parties, periodicity could await subsidiary bodies advice, and annual inventories should be extended to <span class=""highlight"">all GHGs</span>. Argentina supported naming Parties and the Secretariats proposed timetable. The Climate Action Network presented an NGO evaluation of 20 OECD countries plans, noting that although procedural implementation is moving forward, more needs to be done substantively. Without a protocol, further progress would be undermined as Parties encounter political difficulties."
gef|financial mechanism,"AGENDA ITEM 8(b)  MAINTENANCE OF INTERIM FINANCIAL ARRANGEMENTS:   During the discussion of the Co-Chairs draft decision, Brazil, Uganda, the Republic of Korea, Malaysia and Iran supported the G-77 amendments, which clarified that the <span class=""highlight"">GEF</span> shall continue to be the interim entity entrusted with the operation of the <span class=""highlight"">financial mechanism</span>. Uganda and Malaysia felt that the relationship between the <span class=""highlight"">GEF</span> Council and the COP requires further work and evaluation. The Netherlands and Norway said that the restructured <span class=""highlight"">GEF</span> is now in conformity with the conditions in Article 21.3 and should permanently operate the <span class=""highlight"">financial mechanism</span>. The US, supported by the Netherlands, warned that if the question of the <span class=""highlight"">financial mechanism</span> is left open, it will sow doubt among people outside this process."
funding|gef|financial mechanism,"The Philippines and Peru did not believe that the <span class=""highlight"">GEF</span> has been adequately restructured, especially with regard to universality of participation. While the Co-Chair implored delegates not to argue about restructuring, the US, France, Japan and Australia responded, since the issue of universality had been vigorously negotiated. Mauritius said restructuring was a precondition for the <span class=""highlight"">GEF</span> to be the interim, not the permanent, operating agency. The question before the Group is whether the interim arrangement is to be maintained. The question of a permanent <span class=""highlight"">financial mechanism</span> is rather premature. Benin noted that the fourth requirement in Article 11.3, determination of the amount of <span class=""highlight"">funding</span> necessary and available for the implementation of the Convention, is not settled."
funding|operating entity|gef|financial mechanism,"AGENDA ITEM 8(a)(i)  MODALITIES:   The Co-Chair initiated a discussion on possible arrangements between the COP and the <span class=""highlight"">operating entity</span> for the <span class=""highlight"">financial mechanism</span>, using the suggested elements in paragraph 11 of document A/AC.237/87. France, on behalf of the EU, supported using a Memorandum of Understanding (MOU) as a form of institutional arrangement and agreed with the procedure for creating the agreement. She added that paragraphs 25 and 28 contained ambiguities, which must be clarified in the MOU, and that paragraph 19 must clarify how the COP can inform the <span class=""highlight"">GEF</span> or other organization on reconsideration of <span class=""highlight"">funding</span> decisions. The Co-Chair warned against micro- management of the <span class=""highlight"">operating entity</span>, but reiterated that any decision must be consistent with COP policies. Japan suggested deleting the list of specific articles from paragraph 31, on the mobilization of <span class=""highlight"">funds</span>. Co-Chair James Stovall opened the afternoon session by noting a general sense of agreement that the Secretariats of the Convention and the <span class=""highlight"">GEF</span> should draft an agreement."
funding|operating entity,"Sub-paragraph 1(a)(vii):   France suggested that this sub-paragraph, on mobilization of <span class=""highlight"">funds</span>, be deleted because the sub-paragraph requires the <span class=""highlight"">funding</span> mechanism to ensure predictability of resources, and shifts the commitment to ensure <span class=""highlight"">funds</span> onto the <span class=""highlight"">operating entity</span>. The US was concerned about linking several parts of the Convention without actually adding anything. Japan also had difficulty accepting this sub-paragraph. However, Egypt, India and the Philippines voiced strong objections. They noted the sub-paragraph only required the entity to take full account of the predictability of <span class=""highlight"">funds</span> in decision making, but did not require ensuring predictable <span class=""highlight"">funds</span>. China reminded delegates that this sub-paragraph added no new requirements and took two days of negotiation during INC-10. France and the Philippines disagreed as to the sub-paragraphs application to Article 4.3, developed States obligations. The US reiterated that the COP has responsibility for mobilizing <span class=""highlight"">funds</span>."
operating entity|gef|financial mechanism,"India proposed deleting sub-paragraph (ii) on information from multilateral and regional <span class=""highlight"">financial institutions</span>. The US wanted to retain it. Japan and Australia suggested deleting the underlined portions. On sub-paragraph (iv), China suggested retaining the first sentence on measures for promoting consistency, and deleting the rest. The US and Japan wanted to retain the entire paragraph. New Zealand proposed: The Secretariat and the <span class=""highlight"">operating entity</span> or entities of the <span class=""highlight"">financial mechanism</span> should promote consistency. Initial measures for promoting such consistency would include information collection and analysis, and appropriate contact with relevant institutions and organizations. India suggested deleting the entire paragraph since it micro- manages the <span class=""highlight"">GEF</span>."
funding|gef|financial mechanism|private sector,"EU PAPER ON DETERMINATION OF THE AMOUNT OF <span class=""highlight"">FUNDING</span> NECESSARY AND AVAILABLE:   France, on behalf of the EU, introduced a paper on necessary and available <span class=""highlight"">funding</span>. She noted that in addition to the <span class=""highlight"">GEF</span>, other traditional sources of <span class=""highlight"">funding</span> are important, including multilateral banks, <span class=""highlight"">financial assistance</span>, <span class=""highlight"">private sector</span> and national resources. Needs must be clearly defined in the plans designed by developing countries. Available <span class=""highlight"">funds</span> must first cover incremental costs, which should be determined jointly by the entity entrusted with <span class=""highlight"">financial mechanism</span> and the country concerned. Since the extent of <span class=""highlight"">funding</span> necessary will be based on national communications of developing country Parties, the timing of reviews should be linked to the rate of which such communications become available."
reducing emissions|emission|gas,"The Climate Action Network has been actively lobbying G-77 countries to endorse the AOSIS draft protocol, which calls for a <span class=""highlight"">reduction of emissions of greenhouse gases by at least 20% by the year 2005. Meanwhile, others are trying to convince delegates that such a protocol is unnecessary. The fate of the protocol is still uncertain both within the G-77 and in the Committee as a whole. With so much concern over the adequacy  or inadequacy  of commitments, as evidenced by the crowds in Working Group I, many are looking forward to the discussion on this matter.</span>"
funding,"PLENARY:   The first item on the Plenarys agenda this morning is the introduction of documents A/AC.237/L.23, the AOSIS draft protocol, and A/AC.237/L.23/Add.1, German proposals for further elements of a protocol to the Convention. The Plenary will also address Agenda Item 4, Review of Annexes to the Convention, and Agenda Item 10, Review of extrabudgetary <span class=""highlight"">funds</span>."
article 9|co2|emission|gas|all gases|technology transfer|technology,"AGENDA ITEM 1(b)  INTRODUCTION OF THE AOSIS DRAFT PROTOCOL:   Amb. Annette des Iles (Trinidad and Tobago) introduced A/AC.237/L.23, the draft protocol submitted on behalf of AOSIS in September 1994, in accordance with Article 17 of the Convention. She noted that the protocol does not impose any additional obligations on developing country Parties. Its specific provisions include the following:The   Preamble   emphasizes that the burden of achieving the Conventions objectives rests with the developed States. In   Article 1   (Definitions) Sections (1), (7) and (8) differentiate between Parties to the Protocol and Parties to the Convention.   Article 2   (Basic Commitment) restates the core of the commitment contained in Article 4(1)(b) of the Convention.   Article 3   (Targets for greenhouse <span class=""highlight"">gas</span> reductions)is based on the Toronto target. It requires developed country Parties to the Protocol who are included in Annex I to reduce their <span class=""highlight"">CO2</span> <span class=""highlight"">emissions</span> by 2005 to a level at least 20% below that of 1990 and to establish timetables for controlling <span class=""highlight"">emissions</span> of other greenhouse <span class=""highlight"">gases</span>. Article 3(1)(b) requires that Annex I Parties adopt specific targets on other greenhouse <span class=""highlight"">gases</span>. Article 3(2)     (Review and revision of targets) authorizes the Meeting of the Parties to review and revise both the <span class=""highlight"">CO2</span> targets and timetable and the controls for other greenhouse <span class=""highlight"">gases</span>. Article 3(3) (Accession of non-Annex I Parties to the specific commitments) says the commitments are binding only on the Annex I Parties.   Article 4   (Coordination Mechanism) creates a subsidiary body to provide advice to the Meeting of the Parties.   Article 5   (Reporting Requirements) includes a new reporting requirement in Article 5(2) that Annex I Parties provide a cost/benefit analysis of measures undertaken.   Article 6   (Institutional Arrangements) uses institutions established under the Convention.   Article 7   (<span class=""highlight"">Technology</span> transfer) requires that the best available technologies...are expeditiously transferred to developing countries under fair and most favourable conditions.   Article 8   establishes a Meeting of the Parties with powers to review the Protocols implementation.   <span class=""highlight"">Article 9</span>   (Dispute settlement) states that disputes are to be settled in accordance with the Convention.   Article 10   establishes the same procedure for amendments to the Protocol as amendments to the Convention."
ch4|1990 levels|co2|emission|gas|all gases|forest|afforestation|energy efficiency|energy|renewable energy,"Dr. Michael von Websky (Germany) introduced A/AC.237/L.23/Add.1 and noted that the proposal addresses targets and timetables, as well as <span class=""highlight"">policies and measures</span>. He said ambitious reduction targets for <span class=""highlight"">CO2</span> and other greenhouse <span class=""highlight"">gases</span>, such as <span class=""highlight"">methane</span> and N2 O, would make it possible to formulate clear political objectives. He suggested the broader application of economic instruments, increasing <span class=""highlight"">energy</span> efficiency, increased use of renewable <span class=""highlight"">energy</span> sources, the preservation, sustainable management and improvement of existing <span class=""highlight"">forests</span>, and <span class=""highlight"">afforestation</span>. He said a consensus was required at the COP on a commitment by Annex I Parties to stabilize their <span class=""highlight"">CO2</span> <span class=""highlight"">emissions</span>, individually or jointly, at <span class=""highlight"">1990 levels</span> by 2000."
transportation|transport,"AGENDA ITEM 5(c)  PHYSICAL <span class=""highlight"">LOCATION OF THE PERMANENT SECRETARIAT</span>:   The Chair reminded delegates that a contact group was established to advise the Committee on the location of the Secretariat. He then gave the floor to the representatives of the countries offering to host the Secretariat. The information about each offer is contained in A/AC.237/79/Add.4. Canada explained how Toronto is a leader in environmental protection and a multicultural city that is well suited to host the Secretariat. Germany outlined its proposal to host the Secretariat in Bonn, which has excellent communications and <span class=""highlight"">transportation</span> facilities and is a major academic, scientific and cultural center. Switzerland said that the choice for the Secretariats location should be based on effectiveness, not finance or prestige, and that Geneva, as a UN centre, would be the most effective. While Uruguay could not offer monetary subsidies or <span class=""highlight"">financial assistance</span> to developing countries, the low cost of living and services in Montevideo would amply offset the absence of generous subsidies. Kenya announced that it has withdrawn its offer to host the Secretariat. Further discussion will take place on Friday."
